Participant,NFC,Favorite
P1,19,C
P2,17,B2
P3,13,C
P4,18,C
P5,20,C
P6,23,C
P7,19,B2
P8,20,B2
P9,19,C
P10,19,A
P11,18,A
P12,23,C
P13,18,C
P14,23,C
P15,17,B2
P16,22,A
P17,17,A
P18,24,A
P19,11,C
P20,18,B2
P21,14,B3
P22,17,B1
P23,22,A
P24,1,C
