Recording	Participant	Timeline	TOI	Interval	Media	Group1	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	86	25679	25729	50						315.61	134.33	237.23	6.79	c	i	0.49824	0.27044	0.63791	0.40717
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Partial	82	25729	25795	67	i	1	0.63791	0.40717	3.51232										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Partial	87	25912	25945	33							166.59	196.12			c			0.51778	0.28657
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	83	25945	26062	116	c	1	0.51778	0.28657	3.63997										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	88	26062	26112	50						171.72	107.79	174.47	5.91	c	b	0.51778	0.28657	0.39526	0.26874
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	84	26112	26411	299	b	1	0.39526	0.26874	3.60637										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	89	26411	26428	17						128.55	49.21	49.21	1.37	b	b	0.39526	0.26874	0.37094	0.23822
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	85	26428	26544	117	b	1	0.37094	0.23822	3.51052										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	90	26544	26594	50						351.12	127.07	249.36	6.39	b	c	0.37094	0.23822	0.51486	0.26072
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	86	26594	27027	433	c	1	0.51486	0.26072	3.47869										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	91	27027	27060	33						358.17	142.21	200.5	4.34	c	d	0.51486	0.26072	0.63102	0.26442
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	87	27060	28208	1148	d	1	0.63102	0.26442	3.57336										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	92	28208	28258	50						38.25	126.47	240.86	5.82	d		0.63102	0.26442	0.81332	0.1207
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Fixation	Whole	88	28258	28491	233		0	0.81332	0.1207	3.84531										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	93	28491	28524	33						265.09	118.68	170.8	4.38		e	0.81332	0.1207	0.79618	0.32023
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	89	28524	28657	133	e	1	0.79618	0.32023	3.9884										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	94	28657	28690	33						262.05	78.35	107.53	3.06	e	j	0.79618	0.32023	0.77411	0.47829
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	90	28690	28957	266	j	1	0.77411	0.47829	4.02306										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	95	28957	28973	17						70.1	47.53	47.53	0.89	j	j	0.77411	0.47829	0.77583	0.47354
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	91	28973	29107	133	j	1	0.77583	0.47354	3.80841										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Partial	96	29107	29157	50							128.94	182.61		j		0.77583	0.47354		
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Partial	92	29323	29439	117	o	1	0.75299	0.78423	3.56451										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	97	29439	29489	50						177.45	145.21	274.86	7.39	o	n	0.75299	0.78423	0.58841	0.77689
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	93	29489	29656	167	n	1	0.58841	0.77689	3.56739										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	98	29656	29706	50						160.08	109.83	198.38	5.17	n	m	0.58841	0.77689	0.47071	0.73423
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	94	29706	30072	366	m	1	0.47071	0.73423	3.63754										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	99	30072	30138	67						135.42	172.08	325.45	11.8	m	f	0.47071	0.73423	0.25295	0.51967
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	95	30138	30338	199	f	1	0.25295	0.51967	3.75876										
