Participant,NFC,Favorite
P1,5.5,C
P2,5.166666667,B2
P3,4.5,C
P4,5.333333333,C
P5,5.666666667,C
P6,6.166666667,C
P7,5.5,B2
P8,5.666666667,B2
P9,5.5,C
P10,5.5,A
P11,5.333333333,A
P12,6.166666667,C
P13,5.333333333,C
P14,6.166666667,C
P15,5.166666667,B2
P16,6,A
P17,5.166666667,A
P18,6.333333333,A
P19,4.166666667,C
P20,5.333333333,B2
P21,4.666666667,B3
P22,5.166666667,B1
P23,6,A
P24,2.5,C
